"English","Verb","Noun","Adj","Prepositions","Adv","Conjunctions","Determiners","QuestionStatement","Answer","PhrasesNum","Plural","AddSub","MultiplyDivide","ExpoLogarithm","Constant","Oscillate","ConDiverge","Fractal","Not","Intersection","GreaterLess","EqualOpposite","Function","System","OriginDestination","ForwardBack","LateralMiddle","UpDown","Time","Velocity","Energy","Sound","Mass","Length","Quantity","LightDark","Red","Green","Blue","Dense","Vescosity","SmoothRough","Poly","ConvexConcave","OpenClose","POV","CauseEffect","Vague","Information","Truth","Life","Water","Air","Fire","Earth","WoodMetal","Plant","Human","Bird","Fish","Reptile","Insect","Mammal","Happy","BirthDeath","Help","Advesary","MaleFem","Hand","Feet","Body","Head","Food","Disease","Necessity","GiveTake","Tool","Building","OrthodoxTaboo","ZealotModerate","WinLose","DomSub","PayFree","Totals"
"pee",1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-3,0,0,0,0,0,1,-0.1,-1,0,0,-1,0,0.1,0,0,-0.1,0.5,0.3,0,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0.2,1,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.5
"poo",1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-3,0,0,0,0,0,1,-0.1,-1,-0.1,0,-1,0,0.1,0,0,-0.2,0.5,0.3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,3,0,0,5,0,0,1,1,1,1,1,1,0.5,0.5,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,16.5
"increase",1,0,0,0,0,0,0,0,0,0,0,10,9,8,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0.1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.1,37.6
"decrease",1,0,0,0,0,0,0,0,0,0,0,-10,-9,-4,0,0,0,0,0,0,-2,0,1,0,0,0,0,-2,0,0.1,0,0,0,0.5,-0.3,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-0.5,0,0.1,-27.7
"smash",1,0,0,0,0,0,0,0,0,0,0,-1,-1,0.1,0,2,3,0,0,0,-0.7,0,1,0,0,1,-0.5,-1,0,1,1,1,0.5,0.5,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.8,1,0,0,0,0,0,0,0,0,-1,0,0,0,0.1,0,12.4
"weave",1,0,0,0,0,0,0,0,0,0,0.5,0,0,-0.1,-0.5,7,6,1,0,3,0,0,1,0,0,0,-2,0,0.1,0.1,0,0,0,0.5,1,0,0,0,0,0,-0.5,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,1,2,1,0,0,0,0,0,0,1,0,-0.8,1,0,0,1,0,0,0,0,0,1,0,0,0.1,0,0,26
"join",1,0,0,0,0,0,0,0,0,0,0,1,0,-0.2,0.1,0,10,0,0,1,0,1,1,0,0,0,-1,0,0.1,0.1,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.1
"bring",1,0,0,0,0,0,0,0,0,0,1,1,0,-0.5,0,0,4,0,0,1,0,0,1,0,-1,3,-2,0.1,0.1,1,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,15
"give",1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,1,0,0,0,-1,1,2,0,0,3,2,0.1,0.1,0.5,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.2,1,0.2,0.2,0.2,0.2,0.2,0.5,0,0,0,-0.5,1,0,0,0,0.1,0.2,0,10,0,0,0,0,-0.5,-0.2,-1,23.7
"take",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,-1,1,0,0,-3,2,0.1,0.1,0.5,0.3,0,1,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,1,0.6,0.2,0.1,0.1,1,0.5,0,0,0,0.5,1,0,0,0,0.2,0,0,-10,0,0,0,0,0.5,0.9,-1,-0.5
"go",1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3,0,1,1,1,0.1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4
"leave",1,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,-5,0,0,0,0,0,1,0,1,-3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,-0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,8.8
"come",1,0,0,0,0,0,0,0,0,0,0,0.1,0,-1,0,0,5,0,0,0,0,0,1,0,-1,5,-3,-0.1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,20.1
"return",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-3,0,0,0,0,0,1,0,-1,-7,-1,0.2,1,2,1,0,0,1,0,0,0,0,0,0,0,-0.1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.7
"travel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,1,-1,-0.5,5,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,-0.1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9
"climb",1,0,0,0,0,0,0,0,0,0,0,1,0,3,0.1,0.1,0,0.1,0,0,0,0,2,0,0,0.1,1,10,1,1,2,0,0,0.5,1,0,0,0,0,0,0,-0.3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0.2,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1,0,0,1,0.1,0.1,39.9
"ride",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,2,1,0,1,0,0,1,1,-0.5,4,3,4,1,1,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,31.7
"arrive",1,0,0,0,0,0,0,0,0,0,0,0.1,0,-6,4,-1,3,0,0,0,0,0,0,0,-10,0.8,-1,0.8,-1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-12.4
"sit",1,0,0,0,0,0,0,0,0,0,0,-0.1,0,-1,0.2,-0.1,0.1,0.3,0,1,0,0,0.5,0,0,0,0,-2,0,-0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0.3,0,-0.2,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,0,5.6
"rise",1,0,0,0,0,0,0,0,0,0,0,2,0,1,-0.1,0.4,0,0,0,0,0,0,1,0,0,0,0,10,0,1,1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,25.5
"work",1,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0.2,0.3,0.4,0,0,0,0,0,10,1,0,1,0,0,1,1,7,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,-0.6,1,35.5
"use",1,0,0,0,0,0,0,0,0,0,1,-1,-0.1,-0.5,-0.1,0.1,2,0,0,0,0,0,10,0,0,1,0.1,0.1,1,0.7,4,0,1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1,0.3,0.1,0,1,0,0,0,0.1,0,0,-1,0,0,0,0,0,1,0,23.9
"do",1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.5,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1
"pay",1,0,0,0,0,0,0,0,0,0,0,-0.6,0,0.3,0,0,-0.1,0,0,0,0,0,1,6,0,0.1,0.1,0.1,0.1,0,0.6,0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,-1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,10,16.8
"volunteer",1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,0,0,0,10,2,3,0.2,-0.1,0.3,1,0.9,1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,0,1,0,-0.7,0,0,0,0,0,0,-0.5,1,0,0,0,0,0,0.1,-1,25.2
"buy",1,0,0,0,0,0,0,0,0,0,0,1,0.4,0.3,0,0,2,0,0,0,1,3,1,6,0,0,0,0,0,0.8,0,0,0,0.1,1,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.1,-6,0,0,0,0,1,0,10,20.8
"sell",1,0,0,0,0,0,0,0,0,0,0,1,0.4,0.3,0,0,2,0,0,0,0.5,3,1,6,0,0,0,0,0,0.8,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.1,6,0,0,0,0,1,0,10,32.5
"borrow",1,0,0,0,0,0,0,0,0,0,0,-1,-1,-0.3,-0.5,0.3,-2,0,0,0,0,0,1,-1,0,-0.1,-0.1,0,1,0.1,0,0,0.9,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-10,3.4
"fall",1,0,0,0,0,0,0,0,0,0,0,-1,0,-0.5,-1,0.4,0,0,0,0,0,0.9,-0.7,0,-1,-0.1,1,-7,0.1,6,1,0,1,0.5,0.1,0,0,0,0,0,0,0,0,0.1,0,0,-3,0,0,0.9,0,0,0,0,0,0,0.1,1,1,0,0,0.1,1,-0.9,-0.9,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,-1,0,0,0.3
"choose",1,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,-1,0.1,0.1,2,0.1,0,0,0,0.1,1,3,0,0.1,0.1,0.1,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.8
"open",1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0.5,-3,0.1,0,0,0,0,1,0.1,0,0.7,0.7,0.9,0.1,1,0.1,0,0.5,0,0,0,0,0,0,0.5,0,0,10,0,10,0,0,0,0.1,1,0,0,0,0,0,0,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"close",1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.5,0.5,2,0.1,0,0,0,0.1,1,0.1,0,0.1,0.2,-1,0.1,1,0.1,0,0.5,0,0,0,0,0,0,0.8,0,0,10,0,-10,0,0,0,0.1,1,0,0,0,0,0,0,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1
"find",1,0,0,0,0,0,0,0.1,0.5,0,0,0.1,0.1,0.1,0.1,0.1,2,0.1,0,0,0,0.1,1,0.9,0,0.1,0.3,0.3,0.1,0.1,0,0,0,0.1,2,2,0.1,0.1,0.1,0.1,-0.1,0,0,0.9,0.7,0,0.9,1,-1,5,0.9,0.8,0,0,0.1,0,1,2,0.1,0.1,0.1,0.1,0.1,3,0.1,1,0,0,0,0,0,0,0.1,0,0,-0.1,0,0,0,0,1,0,0,28.4
"miss",1,0,0,0,0,0,0,0.1,0,0,0,-1,0,0,0.1,0.1,-5,0,0,0,0,-0.1,-1,0.1,0,0.9,0.9,0.9,0.1,0.1,0,0,0.1,0.1,-0.5,-1,0.1,0.1,0.1,0.1,0.1,0,0,-0.1,0.9,0,0.9,6,-1,0,0.2,0.1,0,0,0.1,0,0.1,1,0.1,0.1,0.1,0.1,0.1,-0.9,-3,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,-6,0,0,1.6
"share",1,0,0,0,0,0,0,0,0,0,1,-1,-8,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.1,2,0,0,0,0,0.1,0,0,0,0.1,1,0,0.1,0.1,1,0.1,0.1,0.1,0,0,0.1,0,1,2,1,0,0,0.8,1,2,2,1,-1,-0.9,0,0,0,0,0.5,0.1,0,10,0,0,0,0,0,0,-9,22.4
"keep",1,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.5,6,0,1,0,0,0,0,0,0.5,0.3,0,0.1,-1,0.1,0.1,0,0.1,0,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,-4,0,0,0,0,1,1,-1,8.8
"be",1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,10,0,-5,2,0.1,-0.5,0.1,1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.9,0,0,0.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,24.6
"have",1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,1,0,1,0,0,0,0,-0.1,0,0.2,0,0,-0.5,0,0,0,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0.1,0,0.1,1,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.6,-6,0,0,0,0,1,1,0,3.7
"stop",1,0,0,0,0,0,0,0,0,0,0,0,0,-7,9,0,-0.1,0,1,0,0,0,1,0,-5,0,0,0,-2,-1,-0.7,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,2.8
"continue",1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,1,0.1,0,0.1,-1,0,0,0.1,0.1,0.8,0,1,1,0,9,5,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3
"wait",1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0.1,1,0,0,-0.1,-0.1,-0.1,8,-1,-0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,22.3
"start",1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,1,0,10,0,-0.1,0,4,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3
"finish",1,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,-0.1,2,0,1,0,0,0,0,0.2,1,0,-10,0,-0.1,0,4,0,-0.5,0,0,-0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.4
"want",1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,-0.1,0.1,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.1,0,0,0,0,1,1,1,1,1,1,1,-1,0.1,0.5,0.3,0,0,0,0.5,0,0,0,6,0,0,0,0,0,-0.8,-0.6,0,18.3
